#,event,date,venue,attendance,city,state,country
16,Bellator 16,2010-04-29,Kansas City Power & Light District,,Kansas City, Missouri, US
15,Bellator 15,2010-04-22,Mohegan Sun Arena,,Uncasville, Connecticut, US
14,Bellator 14,2010-04-15,Chicago Theatre,,Chicago, Illinois, US
13,Bellator 13,2010-04-08,Seminole Hard Rock Hotel & Casino,,Hollywood, Florida, US
12,Bellator 12,2009-06-19,Seminole Hard Rock Hotel & Casino,,Hollywood, Florida, US
11,Bellator 11,2009-06-12,Mohegan Sun Arena,,Uncasville, Connecticut, US
10,Bellator 10,2009-06-05,Citizens Business Bank Arena,,Ontario, California, US
9,Bellator 9,2009-05-29,Monroe Civic Center,,Monroe, Louisiana, US
7,Bellator 7,2009-05-15,Aragon Ballroom,,Chicago, Illinois, US
6,Bellator 6,2009-05-08,Central Pavilion Arena,,Robstown, Texas, US
5,Bellator 5,2009-05-01,Hara Arena,,Dayton, Ohio, US
4,Bellator 4,2009-04-17,Lloyd Noble Center,3850.0,Norman, Oklahoma, US
3,Bellator 3,2009-04-17,Lloyd Noble Center,4297.0,Norman, Oklahoma, US
2,Bellator 2,2009-04-10,Mohegan Sun Arena,1283.0,Uncasville, Connecticut, US
1,Bellator 1,2009-04-03,Seminole Hard Rock Hotel & Casino,1756.0,Hollywood, Florida, US
