weight_class,winner,loser,method,round,time,fight_card,event_name,event_id
Featherweight,Alex Caceres,Julian Erosa,TKO (head kick and punches),1.0,184.0,Main card,UFC Fight Night: Cannonier vs. Strickland,31397b44146d2570be8e9927fd24c992ca761a227826c7d193bd44b3a5083e4e
Bantamweight,Rinya Nakamura,Toshiomi Kazama,KO (punch),1.0,33.0,Preliminary card (ESPN+),UFC Fight Night: Lewis vs. Spivak,335afc512dcb1bcfd63d6bb569b9f6b1f425fa80afca90bea13f9f3a26fe391b
Women's Flyweight,Joanne Wood,Luana Carolina,"Decision (split) (28–29, 30–27, 29–28)",3.0,300.0,Early preliminary card (ESPN+ / UFC Fight Pass),UFC 286: Edwards vs. Usman 3,0fd21c3564a5f57ae60ecbfeeccfb9834920d9ca854fa58370bd1e9dda53a574
Welterweight,Gabriel Bonfim,Mounir Lazzez,Submission (guillotine choke),1.0,49.0,Preliminary card (ABC / ESPN / ESPN+),UFC 283: Teixeira vs. Hill,3bebb432b0f94fd66ec76540745746ecb1e2922a074d51ad8c3431c1de91a1bc
Middleweight,Punahele Soriano,Dalcha Lungiambula,KO (punches),2.0,28.0,Preliminary card (ESPN / ESPN+),UFC on ABC: Ortega vs. Rodríguez,a7724d5662b05fb251948921b953d827c4227511af4712c1e2beb7b817c630ac
Welterweight,Kevin Holland,Tim Means,Submission (D'Arce choke),2.0,88.0,Main card,UFC on ESPN: Kattar vs. Emmett,3c636e60305c6d415db9e3191bc80ec4452c039c69a171f7bc9ca53a3079fb84
Middleweight,Armen Petrosyan,A.J. Dobson,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary card (ESPNews / ESPN+),UFC 280: Oliveira vs. Makhachev,074e781c6825c85f5d5089eebec4b432aa8073a92a0e687418964e2706d0033f
Women's Featherweight,Norma Dumont,Danyelle Wolf,"Decision (unanimous) (30–27, 30–27, 30–26)",3.0,300.0,Early preliminary card (ESPN / ESPN+ / UFC Fight Pass),UFC 279: Diaz vs. Ferguson,3a5af8a99a2c804cca9d840d43eb60ac282899e769db384c632a891d2bbc6889
Light Heavyweight,Alonzo Menifield,Askar Mozharov,TKO (elbows),1.0,280.0,Main card,UFC Fight Night: Volkov vs. Rozenstruik,a6bfec6b710d6d32433290476919c201e785cb3b82e718e06c415293fb67ef1b
Bantamweight,Aljamain Sterling (c),T.J. Dillashaw,TKO (punches),2.0,224.0,Main card,UFC 280: Oliveira vs. Makhachev,074e781c6825c85f5d5089eebec4b432aa8073a92a0e687418964e2706d0033f
Women's Flyweight,Nina Nunes,Cynthia Calvillo,"Decision (split) (28–29, 29–28, 30–27)",3.0,300.0,Preliminary card (ESPN / ESPN+),UFC on ESPN: Vera vs. Cruz,9df7e5274a4be85e767b411c0884303fb7e458ca039f4a2b6cc8e795177de09c
Women's Bantamweight,Julija Stoliarenko,Jessica-Rose Clark,Submission (armbar),1.0,42.0,Early preliminary card (ESPN / ESPN+ / UFC Fight Pass),UFC 276: Adesanya vs. Cannonier,90d00d67e135fde8b81be31e56969e5ef556663d522778fd7b6ba745fc0fe6f5
Featherweight,Bill Algeo,Herbert Burns,TKO (retirement),2.0,110.0,Preliminary card (ESPN / ESPN+),UFC on ABC: Ortega vs. Rodríguez,a7724d5662b05fb251948921b953d827c4227511af4712c1e2beb7b817c630ac
Featherweight,Movsar Evloev,Dan Ige,"Decision (unanimous) (30–26, 30–27, 30–27)",3.0,300.0,Main card,UFC Fight Night: Volkov vs. Rozenstruik,a6bfec6b710d6d32433290476919c201e785cb3b82e718e06c415293fb67ef1b
Heavyweight,Marcos Rogério de Lima,Waldo Cortes-Acosta,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Main card,UFC on ESPN: Song vs. Simón,1e43590228dd4bdfce337a7d45f67c32f78c9434eeeca79aedc48d31d55d96f5
Flyweight,Manel Kape,David Dvořák,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Cannonier vs. Strickland,31397b44146d2570be8e9927fd24c992ca761a227826c7d193bd44b3a5083e4e
Flyweight,Clayton Carpenter,Juancamilo Ronderos,Submission (rear-naked choke),1.0,193.0,Preliminary card (ESPN+),UFC Fight Night: Andrade vs. Blanchfield,adee5b8894a29bd40c722f70d20ff83beae58e3bb1eeebf96c510dd3b75d5db7
Welterweight,Muslim Salikhov,André Fialho,TKO (spinning wheel kick and punches),3.0,63.0,Main card,UFC Fight Night: Nzechukwu vs. Cuțelaba,89784624f21b2c466825bf3a7db9b33caa7a873b16858d07b46e455761315688
Middleweight,Jun Yong Park,Joseph Holmes,Submission (rear-naked choke),2.0,184.0,Preliminary card (ESPN+),UFC Fight Night: Kattar vs. Allen,ab90cb8e05490e5502fc2a7a9c5287e6d3b4836e22e67f9cf12663c7abf3b4fa
Bantamweight,Brady Hiestand,Danaa Batgerel,TKO (punches),3.0,261.0,Preliminary Card (ESPN+),UFC Fight Night: Pavlovich vs. Blaydes,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
Flyweight,Muhammad Mokaev,Malcolm Gordon,Submission (armbar),3.0,266.0,Preliminary card (ESPNews / ESPN+),UFC 280: Oliveira vs. Makhachev,074e781c6825c85f5d5089eebec4b432aa8073a92a0e687418964e2706d0033f
Light Heavyweight,Kennedy Nzechukwu,Karl Roberson,TKO (elbows),3.0,139.0,Preliminary card (ESPN / ESPN+),UFC on ESPN: dos Anjos vs. Fiziev,6bb99de00192615461f83362cf5218d159574cb01c3864a976ad31893130a5a6
Bantamweight,Pedro Munhoz,Chris Gutiérrez,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,UFC on ESPN: Holloway vs. Allen,bfc867ba2c3df4cf55769a8c90ce2bb2aeefd34b2b5c8942108a7d3c2e864179
Lightweight,Dustin Poirier,Michael Chandler,Submission (rear-naked choke),3.0,120.0,Main card,UFC 281: Adesanya vs. Pereira,d3f18dff4786f312875247d3beb33ec6cda77c67bd54d691dff3c9cf3f298b78
Featherweight,Sean Woodson,Luis Saldaña,"Draw (split) (29–27, 27–29, 28–28)",3.0,300.0,Preliminary card (ESPN / ESPN+ / ABC),UFC 278: Usman vs. Edwards 2,6b3f91db3bcc05cf7f9c94a01148f41e1c6d2fb7d03e764fcb5ed82ab9b1b207
Middleweight,Brendan Allen,Krzysztof Jotko,Submission (rear-naked choke),1.0,257.0,Preliminary card (ESPN+),UFC Fight Night: Dern vs. Yan,d1dd88bc1688afaaf959d6781476fd5836ef769bb69989210224cb15d85c6557
Women's Flyweight,Natália Silva,Jasmine Jasudavicius,"Decision (unanimous) (30–26, 30–26, 30–27)",3.0,300.0,Preliminary card (ESPN2 / ESPN+),UFC on ESPN: Kattar vs. Emmett,3c636e60305c6d415db9e3191bc80ec4452c039c69a171f7bc9ca53a3079fb84
Featherweight,Joanderson Brito,Lucas Alexander,Submission (rear-naked choke),1.0,122.0,Preliminary card (ESPN+),UFC Fight Night: Grasso vs. Araújo,9c471d888ce93e23b11cf5eca3e14c3760aafe1c7b7e1536a50a75d3d5452db7
Women's Strawweight,Piera Rodríguez,Sam Hughes,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Grasso vs. Araújo,9c471d888ce93e23b11cf5eca3e14c3760aafe1c7b7e1536a50a75d3d5452db7
Middleweight,Denis Tiuliulin,Jamie Pickett,TKO (knee and punches),2.0,292.0,Preliminary card (ESPN / ESPN+),UFC 279: Diaz vs. Ferguson,3a5af8a99a2c804cca9d840d43eb60ac282899e769db384c632a891d2bbc6889
Middleweight,Roman Dolidze,Kyle Daukaus,KO (knee and punches),1.0,73.0,Preliminary card (ESPN2 / ESPN+),UFC on ESPN: Kattar vs. Emmett,3c636e60305c6d415db9e3191bc80ec4452c039c69a171f7bc9ca53a3079fb84
Heavyweight,Marcin Tybura,Blagoy Ivanov,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,300.0,Main card,UFC Fight Night: Lewis vs. Spivak,335afc512dcb1bcfd63d6bb569b9f6b1f425fa80afca90bea13f9f3a26fe391b
Catchweight (147.6 lb),Michael Trizano,Seung Woo Choi,KO (punches),1.0,291.0,Early preliminary card (ESPN+ / UFC Fight Pass),UFC 281: Adesanya vs. Pereira,d3f18dff4786f312875247d3beb33ec6cda77c67bd54d691dff3c9cf3f298b78
Lightweight,Mateusz Rębecki,Nick Fiore,"Decision (unanimous) (30–26, 30–27, 30–27)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Strickland vs. Imavov,f7c8f38c30c26710fd0dd9c4f75b750a182b92339b8c26cb70403355c02641aa
Featherweight,Joshua Culibao,Melsik Baghdasaryan,Submission (rear-naked choke),2.0,122.0,Preliminary card (ESPN / ESPN+),UFC 284: Makhachev vs. Volkanovski,ce40cb6b82744f27a5062260ab048c0f07b7cd588bacdeaa3b975874474616c7
Women's Featherweight,Stephanie Egger,Ailín Pérez,Submission (rear-naked choke),2.0,294.0,Preliminary card (ESPN+),UFC Fight Night: Gane vs. Tuivasa,b73bdfbe540fe11857188b9103304a373b95cc6096a483754caee1fcf484aa7a
Lightweight,Thiago Moisés,Christos Giagos,Submission (rear-naked choke),1.0,185.0,Main card,UFC on ESPN: Tsarukyan vs. Gamrot,f9d5f817723a545ecd1b4e92c15fc2d0b9243941569c9280afd856fc18cf1a66
Featherweight,Lucas Almeida,Michael Trizano,TKO (punches),3.0,55.0,Main card,UFC Fight Night: Volkov vs. Rozenstruik,a6bfec6b710d6d32433290476919c201e785cb3b82e718e06c415293fb67ef1b
Catchweight (147 lb),William Gomis,Francis Marshall,"Decision (split) (29–28, 28–29, 29–28)",3.0,300.0,Preliminary Card (ESPN+),UFC Fight Night: Pavlovich vs. Blaydes,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
Lightweight,Anshul Jubli,Jeka Saragih,TKO (punches and elbows),2.0,224.0,Preliminary card (ESPN+),UFC Fight Night: Lewis vs. Spivak,335afc512dcb1bcfd63d6bb569b9f6b1f425fa80afca90bea13f9f3a26fe391b
Women's Strawweight,Maria Oliveira,Gloria de Paula,"Decision (split) (29–28, 28–29, 29–28)",3.0,300.0,Preliminary card (ESPN2 / ESPN+),UFC on ESPN: Kattar vs. Emmett,3c636e60305c6d415db9e3191bc80ec4452c039c69a171f7bc9ca53a3079fb84
Bantamweight,Jonathan Martinez,Said Nurmagomedov,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Main card,UFC Fight Night: Yan vs. Dvalishvili,552cb318ba795330de3b5f28c2a53ca7bd86186a0328650d0438636ccf5977db
Welterweight,Ange Loosa,A.J. Fletcher,"Decision (unanimous) (29–27, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPN / ESPN+ / ABC),UFC 278: Usman vs. Edwards 2,6b3f91db3bcc05cf7f9c94a01148f41e1c6d2fb7d03e764fcb5ed82ab9b1b207
Featherweight,Josh Emmett,Calvin Kattar,"Decision (split) (47–48, 48–47, 48–47)",5.0,300.0,Main card,UFC on ESPN: Kattar vs. Emmett,3c636e60305c6d415db9e3191bc80ec4452c039c69a171f7bc9ca53a3079fb84
Featherweight,Damon Jackson,Daniel Argueta,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Volkov vs. Rozenstruik,a6bfec6b710d6d32433290476919c201e785cb3b82e718e06c415293fb67ef1b
Women's Flyweight,Natália Silva,Tereza Bledá,TKO (spinning back kick and punches),3.0,87.0,Preliminary card (ESPN+),UFC Fight Night: Nzechukwu vs. Cuțelaba,89784624f21b2c466825bf3a7db9b33caa7a873b16858d07b46e455761315688
Light Heavyweight,Jan Błachowicz,Magomed Ankalaev,"Draw (split) (48–47, 46–48, 47–47)",5.0,300.0,Main card,UFC 282: Błachowicz vs. Ankalaev,502f7275b810fa0bfd4da6bb83a13ef8b24898350756ccb0ad6310b784316138
Middleweight,Michał Oleksiejczuk,Sam Alvey,TKO (punches),1.0,116.0,Preliminary card (ESPN / ESPN+),UFC on ESPN: Santos vs. Hill,d08c2ed3004e04c4146d2fd152a65b5c191095854e54f82776679f21466a0d28
Bantamweight,Said Nurmagomedov,Douglas Silva de Andrade,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,300.0,Main card,UFC on ESPN: dos Anjos vs. Fiziev,6bb99de00192615461f83362cf5218d159574cb01c3864a976ad31893130a5a6
Bantamweight,Cory Sandhagen,Marlon Vera,"Decision (split) (47–48, 50–45, 49–46)",5.0,300.0,Main card,UFC on ESPN: Vera vs. Sandhagen,e0d176f4aed4195c411bbd7dd3976e954e4f44e349c30b5531bb68f2a579e75e
Lightweight,Dan Hooker,Claudio Puelles,TKO (body kick),2.0,246.0,Main card,UFC 281: Adesanya vs. Pereira,d3f18dff4786f312875247d3beb33ec6cda77c67bd54d691dff3c9cf3f298b78
Middleweight,Phil Hawes,Deron Winn,TKO (elbows),2.0,265.0,Preliminary card (ESPN2 / ESPN+),UFC on ESPN: Kattar vs. Emmett,3c636e60305c6d415db9e3191bc80ec4452c039c69a171f7bc9ca53a3079fb84
Lightweight,Loik Radzhabov,Esteban Ribovics,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Early preliminary card (ESPN+ / UFC Fight Pass),UFC 285: Jones vs. Gane,6e1c3771d3f9ddd68351f68afc407e8d191d4aa60eed637dfb7ce0b325081f94
Middleweight,Roman Kopylov,Punahele Soriano,TKO (body kick and punches),2.0,199.0,Main card,UFC Fight Night: Strickland vs. Imavov,f7c8f38c30c26710fd0dd9c4f75b750a182b92339b8c26cb70403355c02641aa
Bantamweight,Cory Sandhagen,Song Yadong,TKO (doctor stoppage),4.0,300.0,Main card,UFC Fight Night: Sandhagen vs. Song,599feeb433c0ce8dc59bd5640532abf95ca35abb3e64dc921ded63ec20ffdb68
Featherweight,Lee Jeong-yeong,Yi Zha,"Decision (split) (27–30, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Lewis vs. Spivak,335afc512dcb1bcfd63d6bb569b9f6b1f425fa80afca90bea13f9f3a26fe391b
Light Heavyweight,Zac Pauga,Jordan Wright,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,300.0,Main card,UFC Fight Night: Andrade vs. Blanchfield,adee5b8894a29bd40c722f70d20ff83beae58e3bb1eeebf96c510dd3b75d5db7
Middleweight,Joaquin Buckley,Albert Duraev,TKO (doctor stoppage),2.0,300.0,Main card,UFC on ESPN: Kattar vs. Emmett,3c636e60305c6d415db9e3191bc80ec4452c039c69a171f7bc9ca53a3079fb84
Catchweight (140 lb),Marcus McGhee,Journey Newson,Submission (rear-naked choke),2.0,123.0,Preliminary Card (ESPN2 / ESPN+),UFC on ESPN: Song vs. Simón,1e43590228dd4bdfce337a7d45f67c32f78c9434eeeca79aedc48d31d55d96f5
Women's Strawweight,Cory McKenna,Cheyanne Vlismas,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Cannonier vs. Strickland,31397b44146d2570be8e9927fd24c992ca761a227826c7d193bd44b3a5083e4e
Bantamweight,Javid Basharat,Tony Gravely,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Sandhagen vs. Song,599feeb433c0ce8dc59bd5640532abf95ca35abb3e64dc921ded63ec20ffdb68
Lightweight,Mike Davis,Viacheslav Borshchev,"Decision (unanimous) (29–28, 30–26, 30–26)",3.0,300.0,Main card,UFC Fight Night: Dern vs. Yan,d1dd88bc1688afaaf959d6781476fd5836ef769bb69989210224cb15d85c6557
Bantamweight,Mario Bautista,Guido Cannetti,Submission (rear-naked choke),1.0,198.0,Main card,UFC Fight Night: Yan vs. Dvalishvili,552cb318ba795330de3b5f28c2a53ca7bd86186a0328650d0438636ccf5977db
Bantamweight,Leomana Martinez,Brandon Davis,"Decision (split) (28–29, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Grasso vs. Araújo,9c471d888ce93e23b11cf5eca3e14c3760aafe1c7b7e1536a50a75d3d5452db7
Bantamweight,Pedro Munhoz,Sean O'Malley,No Contest (accidental eye poke),2.0,189.0,Main card,UFC 276: Adesanya vs. Cannonier,90d00d67e135fde8b81be31e56969e5ef556663d522778fd7b6ba745fc0fe6f5
Lightweight,Matt Frevola,Ottman Azaitar,KO (punch),1.0,150.0,Early preliminary card (ESPN+ / UFC Fight Pass),UFC 281: Adesanya vs. Pereira,d3f18dff4786f312875247d3beb33ec6cda77c67bd54d691dff3c9cf3f298b78
Heavyweight,Sergey Spivak,Augusto Sakai,TKO (punches),2.0,222.0,Main card,UFC on ESPN: Santos vs. Hill,d08c2ed3004e04c4146d2fd152a65b5c191095854e54f82776679f21466a0d28
Lightweight,Trey Ogden,Daniel Zellhuber,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Sandhagen vs. Song,599feeb433c0ce8dc59bd5640532abf95ca35abb3e64dc921ded63ec20ffdb68
Bantamweight,Merab Dvalishvili,José Aldo,"Decision (unanimous) (29–28, 29–28, 30–27)",3.0,300.0,Main card,UFC 278: Usman vs. Edwards 2,6b3f91db3bcc05cf7f9c94a01148f41e1c6d2fb7d03e764fcb5ed82ab9b1b207
Featherweight,Max Holloway,Arnold Allen,"Decision (unanimous) (49–46, 49–46, 48–47)",5.0,300.0,Main card,UFC on ESPN: Holloway vs. Allen,bfc867ba2c3df4cf55769a8c90ce2bb2aeefd34b2b5c8942108a7d3c2e864179
Heavyweight,Sergei Pavlovich,Tai Tuivasa,KO (punches),1.0,54.0,Main card,UFC on ESPN: Thompson vs. Holland,79f9095f5c2409de8b3ab55694026f915dd4075d84e015a5cfd015996cd8bab3
Featherweight,Arnold Allen,Calvin Kattar,TKO (knee injury),2.0,8.0,Main card,UFC Fight Night: Kattar vs. Allen,ab90cb8e05490e5502fc2a7a9c5287e6d3b4836e22e67f9cf12663c7abf3b4fa
Middleweight,Dustin Stoltzfus,Dwight Grant,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPN / ESPN+),UFC on ABC: Ortega vs. Rodríguez,a7724d5662b05fb251948921b953d827c4227511af4712c1e2beb7b817c630ac
Catchweight (180 lb),Santiago Ponzinibbio,Alex Morono,KO (punches),3.0,149.0,Main card,UFC 282: Błachowicz vs. Ankalaev,502f7275b810fa0bfd4da6bb83a13ef8b24898350756ccb0ad6310b784316138
Flyweight,Ode' Osbourne,Zarrukh Adashev,KO (punches),1.0,61.0,Main card,UFC Fight Night: Volkov vs. Rozenstruik,a6bfec6b710d6d32433290476919c201e785cb3b82e718e06c415293fb67ef1b
Flyweight,C.J. Vergara,Daniel da Silva,TKO (punches),2.0,244.0,Preliminary card (ESPN / ESPN+),UFC on ESPN: Vera vs. Sandhagen,e0d176f4aed4195c411bbd7dd3976e954e4f44e349c30b5531bb68f2a579e75e
Women's Bantamweight,Raquel Pennington,Ketlen Vieira,"Decision (split) (29–28, 28–29, 29–28)",3.0,300.0,Main card,UFC Fight Night: Strickland vs. Imavov,f7c8f38c30c26710fd0dd9c4f75b750a182b92339b8c26cb70403355c02641aa
Light Heavyweight,Philipe Lins,Ovince Saint Preux,KO (punches),1.0,49.0,Preliminary card (ESPN+),UFC Fight Night: Andrade vs. Blanchfield,adee5b8894a29bd40c722f70d20ff83beae58e3bb1eeebf96c510dd3b75d5db7
Women's Strawweight,Loma Lookboonmee,Denise Gomes,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Sandhagen vs. Song,599feeb433c0ce8dc59bd5640532abf95ca35abb3e64dc921ded63ec20ffdb68
Heavyweight,Marcin Tybura,Alexander Romanov,"Decision (majority) (29–28, 29–28, 28–28)",3.0,300.0,Preliminary card (ESPN / ESPN+ / ABC),UFC 278: Usman vs. Edwards 2,6b3f91db3bcc05cf7f9c94a01148f41e1c6d2fb7d03e764fcb5ed82ab9b1b207
Women's Flyweight,Alexa Grasso,Viviane Araújo,"Decision (unanimous) (50–45, 49–46, 49–46)",5.0,300.0,Main card,UFC Fight Night: Grasso vs. Araújo,9c471d888ce93e23b11cf5eca3e14c3760aafe1c7b7e1536a50a75d3d5452db7
Featherweight,Blake Bilder,Shane Young,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,300.0,Early preliminary card (ESPN+ / UFC Fight Pass),UFC 284: Makhachev vs. Volkanovski,ce40cb6b82744f27a5062260ab048c0f07b7cd588bacdeaa3b975874474616c7
Lightweight,Joe Solecki,Carl Deaton III,Technical Submission (rear-naked choke),2.0,295.0,Preliminary card (ESPN+),UFC Fight Night: Muniz vs. Allen,c1a6307ea5d9a56f47e3271221b55336730ff2a3626a3b84c5b2e1ad55525692
Middleweight,Caio Borralho,Armen Petrosyan,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,300.0,Main card,UFC on ESPN: dos Anjos vs. Fiziev,6bb99de00192615461f83362cf5218d159574cb01c3864a976ad31893130a5a6
Lightweight,Nikolas Motta,Cameron VanCamp,TKO (punches),1.0,229.0,Preliminary card (ESPN+),UFC Fight Night: Sandhagen vs. Song,599feeb433c0ce8dc59bd5640532abf95ca35abb3e64dc921ded63ec20ffdb68
Women's Strawweight,Karolina Kowalkiewicz,Felice Herrig,Submission (rear-naked choke),2.0,241.0,Preliminary card (ESPN+),UFC Fight Night: Volkov vs. Rozenstruik,a6bfec6b710d6d32433290476919c201e785cb3b82e718e06c415293fb67ef1b
Lightweight,Daniel Zellhuber,Lando Vannata,"Decision (unanimous) (29–27, 29–28, 30–27)",3.0,300.0,Preliminary card (ESPN+),UFC on ESPN: Holloway vs. Allen,bfc867ba2c3df4cf55769a8c90ce2bb2aeefd34b2b5c8942108a7d3c2e864179
Women's Flyweight,Alexa Grasso,Valentina Shevchenko (c),Submission (face crank),4.0,274.0,Main card,UFC 285: Jones vs. Gane,6e1c3771d3f9ddd68351f68afc407e8d191d4aa60eed637dfb7ce0b325081f94
Catchweight (172.5 lb),Gilbert Urbina,Orion Cosce,TKO (front kick and knees),2.0,175.0,Preliminary Card (ESPN+),UFC Fight Night: Dern vs. Hill,d8efd546a501350524b7b0987463472ddc45083f561753df30f5e0e468e4271a
Bantamweight,Daniel Marcos,Saimon Oliveira,KO (knee to the body and punches),2.0,138.0,Early preliminary card (ESPN+ / UFC Fight Pass),UFC 283: Teixeira vs. Hill,3bebb432b0f94fd66ec76540745746ecb1e2922a074d51ad8c3431c1de91a1bc
Heavyweight,Sergei Pavlovich,Curtis Blaydes,TKO (punches),1.0,188.0,Main card,UFC Fight Night: Pavlovich vs. Blaydes,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
Light Heavyweight,Azamat Murzakanov,Dustin Jacoby,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Main card,UFC on ESPN: Holloway vs. Allen,bfc867ba2c3df4cf55769a8c90ce2bb2aeefd34b2b5c8942108a7d3c2e864179
Middleweight,Dricus du Plessis,Brad Tavares,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPN / ABC / ESPN+),UFC 276: Adesanya vs. Cannonier,90d00d67e135fde8b81be31e56969e5ef556663d522778fd7b6ba745fc0fe6f5
Featherweight,Shayilan Nuerdanbieke,Darrick Minner,TKO (elbows),1.0,67.0,Main card,UFC Fight Night: Rodriguez vs. Lemos,2d3f40573aadf9b4c546662e6812130488efc9a4555a0c001ea3314d23ae7f46
Heavyweight,Rodrigo Nascimento,Tanner Boser,"Decision (split) (30–27, 28–29, 29–28)",3.0,300.0,Main card,UFC Fight Night: Sandhagen vs. Song,599feeb433c0ce8dc59bd5640532abf95ca35abb3e64dc921ded63ec20ffdb68
Lightweight,Terrance McKinney,Erick Gonzalez,Submission (rear-naked choke),1.0,137.0,Main card,UFC on ESPN: Santos vs. Hill,d08c2ed3004e04c4146d2fd152a65b5c191095854e54f82776679f21466a0d28
Bantamweight,Saidyokub Kakhramonov,Ronnie Lawrence,"Decision (unanimous) (30–26, 30–27, 30–27)",3.0,300.0,Preliminary card (ESPN / ESPN+),UFC on ESPN: dos Anjos vs. Fiziev,6bb99de00192615461f83362cf5218d159574cb01c3864a976ad31893130a5a6
Featherweight,Shane Burgos,Charles Jourdain,"Decision (majority) (29–28, 29–28, 28–28)",3.0,300.0,Main card,UFC on ABC: Ortega vs. Rodríguez,a7724d5662b05fb251948921b953d827c4227511af4712c1e2beb7b817c630ac
Catchweight (120 lb),Lupita Godinez,Emily Ducote,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,300.0,Main card,UFC Fight Night: Dern vs. Hill,d8efd546a501350524b7b0987463472ddc45083f561753df30f5e0e468e4271a
Featherweight,Daniel Argueta,Nick Aguirre,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Strickland vs. Imavov,f7c8f38c30c26710fd0dd9c4f75b750a182b92339b8c26cb70403355c02641aa
Women's Featherweight,Norma Dumont,Karol Rosa,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary Card (ESPN+),UFC Fight Night: Pavlovich vs. Blaydes,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
Bantamweight,Aori Qileng,Jay Perrin,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Early preliminary card (ESPN / ESPN+ / UFC Fight Pass),UFC 278: Usman vs. Edwards 2,6b3f91db3bcc05cf7f9c94a01148f41e1c6d2fb7d03e764fcb5ed82ab9b1b207
Bantamweight,Victor Henry,Tony Gravely,"Decision (split) (30–27, 28–29, 29–28)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Yan vs. Dvalishvili,552cb318ba795330de3b5f28c2a53ca7bd86186a0328650d0438636ccf5977db
