event_num,event,date,venue,location,attendance,event_id
523,UFC on ESPN: Kattar vs. Ige,2020-07-16,du Forum,"Abu Dhabi, United Arab Emirates",0,3e421448167f508d45754a1fe9e6fd5cce8e0138aec23d93e66099ac6650e4b8
522,UFC 251: Usman vs. Masvidal,2020-07-12,du Forum,"Abu Dhabi, United Arab Emirates",0,c6710a02c0fd91a28b39b684df9db5586a331ffe0f0cd359e84fc90814c54018
521,UFC on ESPN: Poirier vs. Hooker,2020-06-27,UFC Apex,"Las Vegas, Nevada, U.S.",0,e7594b8fc5886151ffa6b3652a8cf568c73620bf60c1925717c25088d3258b73
520,UFC on ESPN: Blaydes vs. Volkov,2020-06-20,UFC Apex,"Las Vegas, Nevada, U.S.",0,09cc340d6df29ba223822565192421acebfe153173d40af59c3a81f938c69f18
519,UFC on ESPN: Eye vs. Calvillo,2020-06-13,UFC Apex,"Las Vegas, Nevada, U.S.",0,bc8fec1f562ff2daf2a197c4dd1d686d2ad7e24f28081aafa28b404257c4ba16
518,UFC 250: Nunes vs. Spencer,2020-06-06,UFC Apex,"Las Vegas, Nevada, U.S.",0,272d4b99bd7881153a2b5b28b8e564c1bea7a7d0336b412cab9cfbc389d00133
517,UFC on ESPN: Woodley vs. Burns,2020-05-30,UFC Apex,"Las Vegas, Nevada, U.S.",0,7d369b6ac6d4d39be4810ecacf42eee2109b3f1a468fd4752186af482429c615
516,UFC on ESPN: Overeem vs. Harris,2020-05-16,VyStar Veterans Memorial Arena,"Jacksonville, Florida, U.S.",0,f27dcb10e7358004b663b7f19c7cb0f5aef36e0e495e7fe7d3e433a0f025e525
515,UFC Fight Night: Smith vs. Teixeira,2020-05-13,VyStar Veterans Memorial Arena,"Jacksonville, Florida, U.S.",0,f92043a9032f110a9f396f373eb98c6cdf40990a792e9b3b368af8e4b627bcee
514,UFC 249: Ferguson vs. Gaethje,2020-05-09,VyStar Veterans Memorial Arena,"Jacksonville, Florida, U.S.",0,fec0fed03c26f7efac79782207f434004d6c2317038bbb979a2916577c4f56e2
cancelled,UFC Fight Night: Hermansson vs. Weidman,2020-05-02,Chesapeake Energy Arena,"Oklahoma City, Oklahoma, U.S.",Canceled,9cd757d9f564248ec743dc9671bb5dc3fe7bf0a0f6e02be9dbce3bd3224df349
cancelled,UFC Fight Night: Smith vs. Teixeira,2020-04-25,Pinnacle Bank Arena,"Lincoln, Nebraska, U.S.",Canceled,f92043a9032f110a9f396f373eb98c6cdf40990a792e9b3b368af8e4b627bcee
cancelled,UFC Fight Night: Overeem vs. Harris,2020-04-11,Moda Center,"Portland, Oregon, U.S.",Canceled,23e876e779c06034a2086d89344d2966264e3900697bbf3129df88c6c92fb358
cancelled,UFC on ESPN: Ngannou vs. Rozenstruik,2020-03-28,Nationwide Arena,"Columbus, Ohio, U.S.",Canceled,56f619de137dc368baf6aeea514f1e4052dc5b41daad7a80385e8dc4301360e4
cancelled,UFC Fight Night: Woodley vs. Edwards,2020-03-21,The O2 Arena,"London, England, UK",Canceled,e08dbef0b564be8a76f799abb0c7425cd97b6a4b11bcbfbe97fadae3f8bb0299
